id,rg,ctr_n,ctr,yr,mn,unit_type,unit_name,unit_n,pty_n,pty,can,pev1,vot1,vv1,ivv1,to1,cv1,cvs1,pv1,pvs1,pev2,vot2,vv2,ivv2,to2,cv2,cvs2,pv2,pvs2
5,Latin America,Uruguay,598,1994,11,Department,Florida,7,Nacional,27,Alberto Volonté; Juan Andrés Ramírez; Carlos Julio Pereyra,-990,43930,43930,-990,-990,17609,0.384106979,17609,0.384106979,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1994,11,Department,Florida,7,FrenteAmplio,13,Tabaré Vázquez,-990,43930,43930,-990,-990,8533,0.186131229,8533,0.186131229,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1994,11,Department,Lavalleja,8,Colorado,7,Julio María Sanguinetti; Jorge Batlle Ibáñez; Jorge Pacheco Areco,-990,41595,41595,-990,-990,16645,0.387534637,16645,0.387534637,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1994,11,Department,Lavalleja,8,Nacional,27,Alberto Volonté; Juan Andrés Ramírez; Carlos Julio Pereyra,-990,41595,41595,-990,-990,19903,0.463388519,19903,0.463388519,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1994,11,Department,Lavalleja,8,FrenteAmplio,13,Tabaré Vázquez,-990,41595,41595,-990,-990,5047,0.117505999,5047,0.117505999,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1994,11,Department,Maldonado,9,Colorado,7,Julio María Sanguinetti; Jorge Batlle Ibáñez; Jorge Pacheco Areco,-990,68871,68871,-990,-990,25113,0.344584846,25113,0.344584846,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1994,11,Department,Maldonado,9,Nacional,27,Alberto Volonté; Juan Andrés Ramírez; Carlos Julio Pereyra,-990,68871,68871,-990,-990,30033,0.412094002,30033,0.412094002,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1994,11,Department,Maldonado,9,FrenteAmplio,13,Tabaré Vázquez,-990,68871,68871,-990,-990,13725,0.188325863,13725,0.188325863,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1994,11,Department,Montevideo,10,Colorado,7,Julio María Sanguinetti; Jorge Batlle Ibáñez; Jorge Pacheco Areco,-990,842598,842598,-990,-990,243921,0.265568562,243921,0.265568562,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1994,11,Department,Montevideo,10,Nacional,27,Alberto Volonté; Juan Andrés Ramírez; Carlos Julio Pereyra,-990,842598,842598,-990,-990,193566,0.210744648,193566,0.210744648,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1994,11,Department,Montevideo,10,FrenteAmplio,13,Tabaré Vázquez,-990,842598,842598,-990,-990,405111,0.441063881,405111,0.441063881,-990,-990,-990,-990,-990,-990,-990,-990,-990
5,Latin America,Uruguay,598,1994,11,Department,Paysandú,11,Colorado,7,Julio María Sanguinetti; Jorge Batlle Ibáñez; Jorge Pacheco Areco,-990,63484,63484,-990,-990,21127,0.323631668,21127,0.323631668,-990,-990,-990,-990,-990,-990,-990,-990,-990
